Commuter,Origen,Origen_LA,Destination,Destination_LA,Travel_time
1374,(house 161),Salford,(place 1236),Salford,6
2048,(place 1229),Tameside,(place 1229),Tameside,2
3236,(house 824),Oldham,(place 1232),Oldham,6
1390,(house 226),Salford,(place 1236),Salford,6
1986,(house 521),Manchester,(place 1228),Bury,6
1971,(house 620),Manchester,(place 1225),Manchester,6
2539,(house 930),Bury,(place 1228),Bury,6
2522,(house 893),Bury,(place 1227),Bury,6
2237,(house 1093),Tameside,(place 1230),Tameside,6
1298,(house 242),Salford,(place 1228),Bury,6
2267,(house 1104),Tameside,(place 1229),Tameside,6
1428,(house 242),Salford,(place 1227),Bury,6
1519,(house 180),Salford,(place 1227),Bury,6
1263,(house 142),Salford,(place 1235),Salford,6
2660,(house 254),Trafford,(place 1226),Manchester,6
3387,(house 713),Oldham,(place 1231),Oldham,6
3149,(house 767),Oldham,(place 1232),Oldham,6
1889,(house 628),Manchester,(place 1228),Bury,6
1620,(house 622),Manchester,(place 1227),Bury,6
2452,(house 919),Bury,(place 1228),Bury,6
1489,(house 171),Salford,(place 1235),Salford,6
1785,(place 1225),Manchester,(place 1225),Manchester,2
1396,(house 172),Salford,(place 1228),Bury,6
3286,(house 839),Oldham,(place 1232),Oldham,6
2311,(house 881),Bury,(place 1227),Bury,6
1423,(house 117),Salford,(place 1235),Salford,6
3389,(house 776),Oldham,(place 1231),Oldham,6
2249,(place 1229),Tameside,(place 1229),Tameside,2
2782,(place 1237),Trafford,(place 1237),Trafford,2
2009,(house 620),Manchester,(place 1225),Manchester,6
1769,(house 521),Manchester,(place 1228),Bury,6
1862,(place 1225),Manchester,(place 1225),Manchester,2
2352,(house 884),Bury,(place 1227),Bury,6
1629,(house 628),Manchester,(place 1228),Bury,6
1358,(house 154),Salford,(place 1235),Salford,6
1609,(place 1225),Manchester,(house 433),Manchester,4
2174,(house 1118),Tameside,(place 1225),Manchester,6
2064,(house 1157),Tameside,(place 1229),Tameside,6
1393,(house 136),Salford,(place 1235),Salford,6
1431,(house 180),Salford,(place 1227),Bury,6
2353,(house 881),Bury,(place 1228),Bury,6
2026,(house 1130),Tameside,(place 1229),Tameside,6
1511,(house 135),Salford,(place 1235),Salford,6
2121,(place 1229),Tameside,(place 1229),Tameside,2
1707,(place 1225),Manchester,(place 1225),Manchester,2
2522,(place 1227),Bury,(place 1227),Bury,2
3102,(house 1088),Rochdale,(place 1234),Rochdale,7
3079,(house 968),Rochdale,(place 1234),Rochdale,7
2080,(house 1091),Tameside,(place 1230),Tameside,7
3371,(house 833),Oldham,(place 1231),Oldham,7
2254,(house 1136),Tameside,(place 1229),Tameside,7
2267,(place 1229),Tameside,(place 1229),Tameside,2
1785,(place 1225),Manchester,(place 1225),Manchester,2
1480,(house 170),Salford,(place 1236),Salford,7
2793,(house 372),Trafford,(place 1236),Salford,7
2945,(house 982),Rochdale,(place 1234),Rochdale,7
1462,(house 226),Salford,(place 1235),Salford,7
2103,(house 1128),Tameside,(place 1229),Tameside,7
2034,(house 1169),Tameside,(place 1229),Tameside,7
1609,(house 433),Manchester,(house 433),Manchester,2
1598,(house 658),Manchester,(place 1225),Manchester,7
2113,(house 1113),Tameside,(place 1229),Tameside,7
1825,(house 539),Manchester,(place 1225),Manchester,7
2204,(house 1215),Tameside,(place 1230),Tameside,7
1425,(place 1235),Salford,(place 1236),Salford,4
1645,(house 412),Manchester,(place 1225),Manchester,7
2197,(house 1165),Tameside,(place 1229),Tameside,7
2216,(house 1111),Tameside,(place 1230),Tameside,7
2064,(place 1229),Tameside,(place 1229),Tameside,2
2278,(house 1215),Tameside,(place 1230),Tameside,7
2939,(house 1085),Rochdale,(place 1234),Rochdale,7
2048,(place 1229),Tameside,(place 1229),Tameside,2
2272,(house 1136),Tameside,(place 1229),Tameside,7
1423,(place 1235),Salford,(place 1235),Salford,2
3353,(house 714),Oldham,(place 1231),Oldham,7
2422,(house 853),Bury,(place 1228),Bury,7
2870,(house 1006),Rochdale,(place 1234),Rochdale,7
2241,(house 1215),Tameside,(place 1230),Tameside,7
2593,(house 265),Trafford,(place 1238),Trafford,7
3078,(house 1024),Rochdale,(place 1234),Rochdale,7
1541,(house 658),Manchester,(place 1225),Manchester,7
2176,(house 1117),Tameside,(place 1229),Tameside,7
2249,(place 1229),Tameside,(place 1229),Tameside,2
2391,(house 955),Bury,(place 1228),Bury,7
2025,(house 1098),Tameside,(place 1225),Manchester,7
2213,(house 1158),Tameside,(place 1229),Tameside,7
2207,(house 1110),Tameside,(place 1229),Tameside,7
2085,(house 1110),Tameside,(place 1229),Tameside,7
1620,(place 1227),Bury,(place 1227),Bury,2
1396,(place 1228),Bury,(place 1228),Bury,2
3354,(house 742),Oldham,(place 1231),Oldham,7
2190,(house 1184),Tameside,(place 1229),Tameside,7
3023,(house 1045),Rochdale,(place 1232),Oldham,7
2363,(house 941),Bury,(place 1227),Bury,7
2121,(place 1229),Tameside,(place 1229),Tameside,2
1862,(place 1225),Manchester,(place 1225),Manchester,2
1298,(place 1228),Bury,(place 1228),Bury,2
2876,(house 1035),Rochdale,(place 1231),Oldham,7
2852,(house 1078),Rochdale,(place 1234),Rochdale,7
1393,(place 1235),Salford,(place 1235),Salford,2
1401,(house 243),Salford,(place 1236),Salford,7
3098,(house 1022),Rochdale,(place 1234),Rochdale,7
2026,(place 1229),Tameside,(place 1229),Tameside,2
2274,(house 1106),Tameside,(place 1230),Tameside,7
2222,(house 1091),Tameside,(place 1230),Tameside,7
1971,(place 1225),Manchester,(place 1225),Manchester,2
1565,(house 658),Manchester,(place 1225),Manchester,7
3022,(house 1013),Rochdale,(place 1234),Rochdale,7
1690,(house 637),Manchester,(place 1225),Manchester,7
3044,(house 1035),Rochdale,(place 1231),Oldham,7
2218,(house 1128),Tameside,(place 1229),Tameside,7
1497,(house 127),Salford,(place 1236),Salford,7
2724,(house 385),Trafford,(place 1238),Trafford,7
2782,(place 1237),Trafford,(place 1237),Trafford,2
2068,(house 1200),Tameside,(place 1229),Tameside,7
2046,(house 1200),Tameside,(place 1229),Tameside,7
1552,(house 599),Manchester,(place 1226),Manchester,7
1707,(place 1225),Manchester,(place 1225),Manchester,2
2703,(house 385),Trafford,(place 1238),Trafford,7
2057,(house 1099),Tameside,(place 1230),Tameside,7
1707,(place 1225),Manchester,(place 1225),Manchester,2
2085,(place 1229),Tameside,(place 1229),Tameside,2
1851,(house 583),Manchester,(place 1225),Manchester,8
1858,(house 550),Manchester,(place 1225),Manchester,8
2289,(house 1221),Tameside,(place 1225),Manchester,8
2249,(place 1229),Tameside,(place 1229),Tameside,2
2585,(house 313),Trafford,(place 1238),Trafford,8
2239,(house 1149),Tameside,(place 1229),Tameside,8
3237,(house 734),Oldham,(place 1231),Oldham,8
2096,(house 1197),Tameside,(place 1225),Manchester,8
2089,(house 1217),Tameside,(place 1229),Tameside,8
1609,(house 433),Manchester,(house 433),Manchester,2
2264,(house 1218),Tameside,(place 1225),Manchester,8
2020,(house 1171),Tameside,(place 1225),Manchester,8
3023,(place 1232),Oldham,(place 1232),Oldham,2
2190,(place 1229),Tameside,(place 1229),Tameside,2
2062,(house 1217),Tameside,(place 1225),Manchester,8
2034,(place 1229),Tameside,(place 1229),Tameside,2
2101,(house 1171),Tameside,(place 1229),Tameside,8
2876,(place 1231),Oldham,(place 1231),Oldham,2
2209,(house 1118),Tameside,(place 1229),Tameside,8
2176,(place 1229),Tameside,(place 1229),Tameside,2
1825,(place 1225),Manchester,(place 1225),Manchester,2
2398,(house 866),Bury,(place 1228),Bury,8
2343,(house 928),Bury,(place 1227),Bury,8
2391,(place 1228),Bury,(place 1228),Bury,2
2048,(place 1229),Tameside,(place 1229),Tameside,2
1988,(house 583),Manchester,(place 1225),Manchester,8
2686,(house 384),Trafford,(place 1226),Manchester,8
2024,(house 1178),Tameside,(place 1229),Tameside,8
2179,(house 1118),Tameside,(place 1229),Tameside,8
3319,(house 734),Oldham,(place 1231),Oldham,8
1620,(place 1227),Bury,(place 1227),Bury,2
2532,(house 908),Bury,(place 1227),Bury,8
2041,(house 1104),Tameside,(place 1230),Tameside,8
2276,(house 1171),Tameside,(place 1229),Tameside,8
2422,(place 1228),Bury,(place 1228),Bury,2
2100,(house 1097),Tameside,(place 1229),Tameside,8
2115,(house 1179),Tameside,(place 1230),Tameside,8
2132,(house 1204),Tameside,(place 1230),Tameside,8
1767,(house 479),Manchester,(place 1226),Manchester,8
1565,(place 1225),Manchester,(place 1225),Manchester,2
3153,(house 813),Oldham,(place 1232),Oldham,8
2593,(place 1238),Trafford,(place 1238),Trafford,2
2254,(place 1229),Tameside,(place 1229),Tameside,2
3182,(house 791),Oldham,(place 1232),Oldham,8
2782,(place 1237),Trafford,(place 1237),Trafford,2
1999,(house 463),Manchester,(place 1225),Manchester,8
2026,(place 1229),Tameside,(place 1229),Tameside,2
2071,(house 1171),Tameside,(place 1225),Manchester,8
2284,(house 1199),Tameside,(place 1229),Tameside,8
2042,(house 1204),Tameside,(place 1230),Tameside,8
2766,(house 368),Trafford,(place 1238),Trafford,8
3354,(place 1231),Oldham,(place 1231),Oldham,2
3113,(house 1075),Rochdale,(place 1234),Rochdale,8
2694,(house 278),Trafford,(place 1238),Trafford,8
2294,(house 1197),Tameside,(place 1225),Manchester,8
2640,(house 303),Trafford,(place 1238),Trafford,8
2025,(place 1225),Manchester,(place 1225),Manchester,2
2270,(house 1149),Tameside,(place 1229),Tameside,8
2221,(house 1202),Tameside,(place 1230),Tameside,8
2222,(place 1230),Tameside,(place 1230),Tameside,2
3037,(house 1005),Rochdale,(place 1233),Rochdale,8
1785,(place 1225),Manchester,(place 1225),Manchester,2
2057,(place 1230),Tameside,(place 1230),Tameside,2
1645,(place 1225),Manchester,(place 1225),Manchester,2
1526,(house 213),Salford,(place 1237),Trafford,8
2197,(place 1229),Tameside,(place 1229),Tameside,2
3064,(house 1075),Rochdale,(place 1234),Rochdale,8
2160,(house 1171),Tameside,(place 1229),Tameside,8
2068,(place 1229),Tameside,(place 1229),Tameside,2
1313,(place 1235),Salford,(house 210),Salford,5
1690,(place 1225),Manchester,(place 1225),Manchester,2
2883,(house 1051),Rochdale,(place 1233),Rochdale,8
1531,(place 1235),Salford,(house 138),Salford,5
1644,(house 469),Manchester,(place 1225),Manchester,8
1337,(house 211),Salford,(place 1235),Salford,8
1480,(place 1236),Salford,(place 1236),Salford,2
2267,(place 1229),Tameside,(place 1229),Tameside,2
2103,(place 1229),Tameside,(place 1229),Tameside,2
2500,(house 927),Bury,(place 1227),Bury,9
2332,(house 875),Bury,(place 1227),Bury,9
2047,(house 1136),Tameside,(place 1230),Tameside,9
3182,(place 1232),Oldham,(place 1232),Oldham,2
3080,(house 962),Rochdale,(place 1233),Rochdale,9
3153,(place 1232),Oldham,(place 1232),Oldham,2
1501,(house 211),Salford,(place 1236),Salford,9
2638,(house 288),Trafford,(place 1237),Trafford,9
2037,(house 1136),Tameside,(place 1230),Tameside,9
2378,(house 927),Bury,(place 1228),Bury,9
3352,(house 844),Oldham,(place 1232),Oldham,9
2239,(place 1229),Tameside,(place 1229),Tameside,2
2062,(place 1225),Manchester,(place 1225),Manchester,2
2137,(house 1193),Tameside,(place 1225),Manchester,9
1518,(house 130),Salford,(place 1238),Trafford,9
2115,(place 1230),Tameside,(place 1230),Tameside,2
1565,(place 1225),Manchester,(place 1225),Manchester,2
2084,(house 1154),Tameside,(place 1229),Tameside,9
2173,(house 1145),Tameside,(place 1229),Tameside,9
2435,(house 889),Bury,(place 1228),Bury,9
2034,(place 1229),Tameside,(place 1229),Tameside,2
2810,(house 275),Trafford,(place 1237),Trafford,9
2256,(house 1199),Tameside,(place 1230),Tameside,9
2777,(house 366),Trafford,(place 1237),Trafford,9
2102,(house 1196),Tameside,(place 1229),Tameside,9
2025,(place 1225),Manchester,(place 1225),Manchester,2
1368,(house 178),Salford,(place 1227),Bury,9
2092,(house 1154),Tameside,(place 1229),Tameside,9
2808,(house 315),Trafford,(place 1235),Salford,9
3186,(house 718),Oldham,(place 1233),Rochdale,9
2290,(house 1193),Tameside,(place 1225),Manchester,9
1266,(house 201),Salford,(place 1236),Salford,9
2103,(place 1229),Tameside,(place 1229),Tameside,2
1294,(house 115),Salford,(place 1235),Salford,9
2093,(house 1159),Tameside,(place 1229),Tameside,9
1749,(house 400),Manchester,(place 1225),Manchester,9
3339,(house 844),Oldham,(place 1231),Oldham,9
2042,(place 1230),Tameside,(place 1230),Tameside,2
2848,(house 989),Rochdale,(place 1234),Rochdale,9
2333,(house 850),Bury,(place 1228),Bury,9
2099,(house 1199),Tameside,(place 1230),Tameside,9
2883,(place 1233),Rochdale,(place 1233),Rochdale,2
2139,(house 1133),Tameside,(place 1231),Oldham,9
2633,(house 288),Trafford,(place 1237),Trafford,9
2230,(house 1199),Tameside,(place 1230),Tameside,9
1531,(house 138),Salford,(house 138),Salford,2
3390,(house 763),Oldham,(place 1232),Oldham,9
2057,(place 1230),Tameside,(place 1230),Tameside,2
2222,(place 1230),Tameside,(place 1230),Tameside,2
2048,(place 1229),Tameside,(place 1229),Tameside,2
2039,(house 1158),Tameside,(place 1230),Tameside,9
2070,(house 1193),Tameside,(place 1225),Manchester,9
1644,(place 1225),Manchester,(place 1225),Manchester,2
1833,(house 666),Manchester,(place 1225),Manchester,9
2566,(house 385),Trafford,(place 1237),Trafford,9
1675,(house 666),Manchester,(place 1225),Manchester,9
2391,(place 1228),Bury,(place 1228),Bury,2
2284,(place 1229),Tameside,(place 1229),Tameside,2
2100,(place 1229),Tameside,(place 1229),Tameside,2
2044,(house 1184),Tameside,(place 1230),Tameside,9
2096,(place 1225),Manchester,(place 1225),Manchester,2
2150,(house 1188),Tameside,(place 1229),Tameside,9
2085,(place 1229),Tameside,(place 1229),Tameside,2
2831,(house 336),Trafford,(place 1237),Trafford,9
2423,(house 927),Bury,(place 1227),Bury,9
2101,(place 1229),Tameside,(place 1229),Tameside,2
2148,(house 1113),Tameside,(place 1230),Tameside,9
3299,(house 772),Oldham,(place 1231),Oldham,9
2119,(house 1123),Tameside,(place 1229),Tameside,9
1785,(place 1225),Manchester,(place 1225),Manchester,2
2050,(house 1117),Tameside,(place 1225),Manchester,9
2840,(house 260),Trafford,(place 1238),Trafford,9
2127,(house 1123),Tameside,(place 1229),Tameside,9
2267,(place 1229),Tameside,(place 1229),Tameside,2
2549,(house 938),Bury,(place 1228),Bury,9
1995,(house 564),Manchester,(place 1225),Manchester,9
2709,(house 340),Trafford,(place 1237),Trafford,9
2166,(house 1123),Tameside,(place 1225),Manchester,9
2893,(house 1015),Rochdale,(place 1234),Rochdale,9
2169,(house 1162),Tameside,(place 1225),Manchester,10
2514,(house 943),Bury,(place 1228),Bury,10
2159,(house 1149),Tameside,(place 1230),Tameside,10
2995,(house 1082),Rochdale,(place 1234),Rochdale,10
2053,(house 1106),Tameside,(place 1225),Manchester,10
2027,(house 1124),Tameside,(place 1230),Tameside,10
2048,(place 1229),Tameside,(place 1229),Tameside,2
2250,(house 1171),Tameside,(place 1230),Tameside,10
3188,(house 784),Oldham,(place 1233),Rochdale,10
1270,(house 191),Salford,(place 1238),Trafford,10
2115,(place 1230),Tameside,(place 1230),Tameside,2
2286,(house 1154),Tameside,(place 1230),Tameside,10
1670,(house 508),Manchester,(place 1237),Trafford,10
1643,(house 650),Manchester,(place 1225),Manchester,10
2755,(house 337),Trafford,(place 1238),Trafford,10
2820,(house 273),Trafford,(place 1237),Trafford,10
2598,(house 337),Trafford,(place 1238),Trafford,10
2950,(house 1029),Rochdale,(place 1234),Rochdale,10
2863,(house 1062),Rochdale,(place 1231),Oldham,10
2127,(place 1229),Tameside,(place 1229),Tameside,2
2509,(house 896),Bury,(place 1227),Bury,10
1699,(house 403),Manchester,(place 1232),Oldham,10
2704,(house 278),Trafford,(place 1237),Trafford,10
2332,(place 1227),Bury,(place 1227),Bury,2
3358,(house 789),Oldham,(place 1232),Oldham,10
2047,(place 1230),Tameside,(place 1230),Tameside,2
2230,(place 1230),Tameside,(place 1230),Tameside,2
2092,(place 1229),Tameside,(place 1229),Tameside,2
2148,(place 1230),Tameside,(place 1230),Tameside,2
2238,(house 1142),Tameside,(place 1225),Manchester,10
2070,(place 1225),Manchester,(place 1225),Manchester,2
2039,(place 1230),Tameside,(place 1230),Tameside,2
2315,(house 856),Bury,(place 1227),Bury,10
2243,(house 1216),Tameside,(place 1229),Tameside,10
2256,(place 1230),Tameside,(place 1230),Tameside,2
2549,(place 1228),Bury,(place 1228),Bury,2
1501,(place 1236),Salford,(place 1236),Salford,2
1506,(house 191),Salford,(place 1238),Trafford,10
2236,(house 1135),Tameside,(place 1225),Manchester,10
2233,(house 1117),Tameside,(place 1230),Tameside,10
2116,(house 1165),Tameside,(place 1230),Tameside,10
1879,(house 694),Manchester,(place 1225),Manchester,10
2269,(house 1144),Tameside,(place 1225),Manchester,10
2057,(place 1230),Tameside,(place 1230),Tameside,2
2044,(place 1230),Tameside,(place 1230),Tameside,2
3155,(house 782),Oldham,(place 1232),Oldham,10
2817,(house 325),Trafford,(place 1238),Trafford,10
1917,(place 1227),Bury,(house 468),Manchester,6
2093,(place 1229),Tameside,(place 1229),Tameside,2
2260,(house 1135),Tameside,(place 1225),Manchester,10
2242,(house 1118),Tameside,(place 1230),Tameside,10
2195,(house 1171),Tameside,(place 1230),Tameside,10
2077,(house 1144),Tameside,(place 1225),Manchester,10
3317,(house 740),Oldham,(place 1231),Oldham,10
3182,(place 1232),Oldham,(place 1232),Oldham,2
2110,(house 1135),Tameside,(place 1225),Manchester,10
1494,(house 127),Salford,(place 1236),Salford,10
2512,(house 896),Bury,(place 1227),Bury,10
1827,(place 1225),Manchester,(house 513),Manchester,6
1565,(place 1225),Manchester,(place 1225),Manchester,2
2100,(place 1229),Tameside,(place 1229),Tameside,2
2164,(house 1140),Tameside,(place 1229),Tameside,10
2131,(place 1225),Manchester,(house 1145),Tameside,6
3339,(place 1231),Oldham,(place 1231),Oldham,2
2337,(house 924),Bury,(place 1227),Bury,10
2142,(place 1229),Tameside,(house 1215),Tameside,6
2208,(house 1089),Tameside,(place 1229),Tameside,10
2244,(house 1118),Tameside,(place 1230),Tameside,10
2711,(house 278),Trafford,(place 1237),Trafford,10
1393,(place 1235),Salford,(place 1236),Salford,4
1882,(house 430),Manchester,(place 1227),Bury,10
2166,(place 1225),Manchester,(place 1225),Manchester,2
2400,(house 856),Bury,(place 1227),Bury,10
1815,(house 633),Manchester,(place 1229),Tameside,10
2036,(house 1170),Tameside,(place 1229),Tameside,10
1531,(house 138),Salford,(house 138),Salford,2
1518,(place 1238),Trafford,(place 1238),Trafford,2
1751,(house 391),Manchester,(place 1225),Manchester,10
2188,(house 1117),Tameside,(place 1230),Tameside,10
3365,(house 745),Oldham,(place 1233),Rochdale,10
2938,(house 978),Rochdale,(place 1231),Oldham,10
2284,(place 1229),Tameside,(place 1229),Tameside,2
1446,(house 225),Salford,(place 1228),Bury,11
2055,(house 1180),Tameside,(place 1231),Oldham,11
2057,(place 1230),Tameside,(place 1230),Tameside,2
2131,(house 1145),Tameside,(house 1145),Tameside,2
2938,(place 1231),Oldham,(place 1231),Oldham,2
1270,(place 1238),Trafford,(place 1238),Trafford,2
2261,(house 1089),Tameside,(place 1230),Tameside,11
2813,(house 255),Trafford,(place 1237),Trafford,11
2044,(place 1230),Tameside,(place 1230),Tameside,2
2476,(house 878),Bury,(place 1228),Bury,11
2118,(house 1186),Tameside,(place 1229),Tameside,11
1441,(house 225),Salford,(place 1227),Bury,11
2236,(place 1225),Manchester,(place 1225),Manchester,2
1600,(house 488),Manchester,(place 1237),Trafford,11
2396,(house 848),Bury,(place 1228),Bury,11
1623,(house 663),Manchester,(place 1226),Manchester,11
2014,(house 1170),Tameside,(place 1230),Tameside,11
2285,(house 1151),Tameside,(place 1229),Tameside,11
3138,(house 719),Oldham,(place 1232),Oldham,11
3168,(house 807),Oldham,(place 1231),Oldham,11
2230,(place 1230),Tameside,(place 1230),Tameside,2
1974,(house 528),Manchester,(place 1230),Tameside,11
2238,(place 1225),Manchester,(place 1225),Manchester,2
1643,(place 1225),Manchester,(place 1225),Manchester,2
2286,(place 1230),Tameside,(place 1230),Tameside,2
2052,(house 1213),Tameside,(place 1225),Manchester,11
1583,(house 537),Manchester,(place 1226),Manchester,11
2231,(house 1142),Tameside,(place 1229),Tameside,11
3269,(house 719),Oldham,(place 1232),Oldham,11
2332,(place 1227),Bury,(place 1227),Bury,2
2087,(house 1194),Tameside,(place 1229),Tameside,11
2180,(house 1220),Tameside,(place 1225),Manchester,11
1787,(house 552),Manchester,(place 1226),Manchester,11
1839,(house 401),Manchester,(place 1226),Manchester,11
2100,(place 1229),Tameside,(place 1229),Tameside,2
2169,(place 1225),Manchester,(place 1225),Manchester,2
2922,(house 1033),Rochdale,(place 1228),Bury,11
3317,(place 1231),Oldham,(place 1231),Oldham,2
1830,(house 401),Manchester,(place 1226),Manchester,11
1938,(house 541),Manchester,(place 1225),Manchester,11
1497,(place 1236),Salford,(place 1235),Salford,5
3339,(place 1231),Oldham,(place 1231),Oldham,2
2166,(place 1225),Manchester,(place 1225),Manchester,2
2058,(house 1157),Tameside,(place 1225),Manchester,11
2538,(house 942),Bury,(place 1228),Bury,11
2126,(house 1151),Tameside,(place 1229),Tameside,11
3048,(house 999),Rochdale,(place 1228),Bury,11
1842,(house 567),Manchester,(place 1229),Tameside,11
2256,(place 1230),Tameside,(place 1230),Tameside,2
2079,(house 1089),Tameside,(place 1230),Tameside,11
1616,(house 430),Manchester,(place 1237),Trafford,11
1536,(house 492),Manchester,(place 1232),Oldham,11
3158,(house 794),Oldham,(place 1231),Oldham,11
1565,(place 1225),Manchester,(place 1225),Manchester,2
2269,(place 1225),Manchester,(place 1225),Manchester,2
1609,(house 433),Manchester,(place 1225),Manchester,4
2995,(place 1234),Rochdale,(place 1234),Rochdale,2
2994,(house 977),Rochdale,(place 1228),Bury,11
2281,(house 1201),Tameside,(place 1229),Tameside,11
1293,(house 225),Salford,(place 1227),Bury,11
2950,(place 1234),Rochdale,(place 1234),Rochdale,2
3034,(house 996),Rochdale,(place 1231),Oldham,11
1959,(house 450),Manchester,(place 1225),Manchester,11
2965,(house 981),Rochdale,(place 1231),Oldham,11
2449,(house 878),Bury,(place 1228),Bury,11
1501,(place 1236),Salford,(place 1236),Salford,2
1879,(place 1225),Manchester,(place 1225),Manchester,2
3206,(house 803),Oldham,(place 1231),Oldham,11
2115,(place 1230),Tameside,(place 1230),Tameside,2
1794,(house 633),Manchester,(place 1230),Tameside,11
2802,(house 305),Trafford,(place 1237),Trafford,11
2172,(house 1150),Tameside,(place 1229),Tameside,11
1436,(house 119),Salford,(place 1236),Salford,11
3332,(house 718),Oldham,(place 1234),Rochdale,11
2598,(place 1238),Trafford,(place 1238),Trafford,2
3028,(house 1001),Rochdale,(place 1231),Oldham,11
3146,(house 769),Oldham,(place 1232),Oldham,11
2315,(place 1227),Bury,(place 1227),Bury,2
2849,(house 977),Rochdale,(place 1227),Bury,11
2036,(place 1229),Tameside,(place 1229),Tameside,2
1773,(house 633),Manchester,(place 1230),Tameside,11
2886,(house 1033),Rochdale,(place 1228),Bury,11
1815,(place 1229),Tameside,(place 1229),Tameside,2
2227,(house 1215),Tameside,(place 1225),Manchester,11
1878,(house 607),Manchester,(place 1226),Manchester,12
2269,(place 1225),Manchester,(place 1225),Manchester,2
3286,(place 1232),Oldham,(house 839),Oldham,7
2976,(house 1064),Rochdale,(place 1233),Rochdale,12
2271,(house 1166),Tameside,(place 1230),Tameside,12
1440,(house 194),Salford,(place 1227),Bury,12
1718,(house 545),Manchester,(place 1237),Trafford,12
2121,(place 1229),Tameside,(house 1193),Tameside,6
2152,(house 1192),Tameside,(place 1229),Tameside,12
2230,(place 1230),Tameside,(place 1230),Tameside,2
2033,(place 1229),Tameside,(place 1230),Tameside,8
2074,(house 1136),Tameside,(place 1225),Manchester,12
2246,(house 1127),Tameside,(place 1225),Manchester,12
2247,(house 1127),Tameside,(place 1230),Tameside,12
2044,(place 1230),Tameside,(place 1230),Tameside,2
2118,(place 1229),Tameside,(place 1229),Tameside,2
1879,(place 1225),Manchester,(place 1225),Manchester,2
2256,(place 1230),Tameside,(place 1230),Tameside,2
2169,(place 1225),Manchester,(place 1225),Manchester,2
3233,(house 800),Oldham,(place 1231),Oldham,12
2396,(place 1228),Bury,(place 1228),Bury,2
3034,(place 1231),Oldham,(place 1231),Oldham,2
1542,(house 592),Manchester,(place 1232),Oldham,12
3317,(place 1231),Oldham,(place 1231),Oldham,2
1986,(place 1228),Bury,(house 521),Manchester,7
3149,(place 1232),Oldham,(house 767),Oldham,7
2277,(house 1195),Tameside,(place 1229),Tameside,12
2076,(house 1130),Tameside,(place 1225),Manchester,12
2953,(house 1061),Rochdale,(place 1234),Rochdale,12
1849,(house 706),Manchester,(place 1229),Tameside,12
3181,(house 746),Oldham,(place 1233),Rochdale,12
3050,(house 960),Rochdale,(place 1227),Bury,12
2095,(house 1096),Tameside,(place 1225),Manchester,12
2172,(place 1229),Tameside,(place 1229),Tameside,2
2813,(place 1237),Trafford,(place 1237),Trafford,2
2013,(house 1127),Tameside,(place 1230),Tameside,12
2052,(place 1225),Manchester,(place 1225),Manchester,2
1794,(place 1230),Tameside,(place 1230),Tameside,2
